road,start node,end node,AADT
4438,183862788,183862806,0.01
6367,183892710,183892712,0.22
6300,183979733,183913039,0.01
6113,7161912968,183891557,0.03
7977,6863099402,6863099392,0.00
3762,8310215787,8310215783,7.37
2845,183897622,183904106,45.39
8874,8110362178,8110362177,0.04
5136,6951413316,6951413314,0.01
11384,183865147,183898155,28.69
12854,183956640,8105835417,0.00
4876,2937774087,2937774090,9.69
7515,183951486,183934106,51.62
6494,183916311,183916315,0.01
9195,8428297751,8428297750,8.51
10308,183835184,7361689594,0.06
10313,2722360332,2722360323,0.00
7948,8411584928,8411584929,0.01
11267,183852590,8428187883,0.00
6843,183810522,183810530,2820.46
11577,8114963939,8114963944,0.40
10307,183835184,8418028697,422.05
11842,183985529,183983565,118.26
956,183794312,183794317,0.07
1520,8111053264,183936166,0.03
3081,8424358892,183882314,18.98
6143,183908893,7436441855,0.03
8724,2722360312,2722360295,0.01
4784,8111587517,8111587519,0.10
379,1622355056,183872830,10664.72
7980,8084247201,183896308,0.05
7200,183898122,183958004,0.08
10430,7769153894,7769153897,4.97
13368,4562886627,4562886877,0.01
4478,7601349315,7601349313,74.59
11266,183852590,8428187883,0.00
8994,183877604,183939616,18.04
5809,6782612333,6782612332,0.28
9308,183864945,8110367964,5.43
5156,183832494,183832492,0.06
6482,2864838218,183945492,1.49
10163,7270829483,5929702983,0.05
12670,7129703939,7129703933,0.05
10400,183856074,183891854,0.01
11857,6951413297,6951413296,31.99
7286,183893748,183869954,0.03
6038,183808351,183820236,51.48
11041,7769804564,183873452,160.00
9587,6966074459,183884117,0.17
1477,7151285659,6948153698,0.01
13063,8114593047,8114593050,0.00
781,7168837314,7168837312,3.03
3979,183960729,183862529,0.08
7987,7007439332,183938209,0.00
7173,183940611,183967605,12.26
5704,183826447,7200197163,0.26
7075,183897582,183919775,88.82
11687,6950246395,6950246396,0.00
2292,183896113,7085786377,98.82
11556,8095362762,8111654324,0.00
8648,7218479589,7218479590,3.06
2680,183870122,183933102,0.37
10761,7244261457,7601349315,74.65
12911,183830239,183893748,0.08
273,183793420,8110367980,47.58
8229,183861409,6948642180,0.03
455,183799777,183799770,0.00
10003,183820236,183820252,51.48
8423,4562888526,4562887876,18.64
1608,183866359,183866353,15.16
5908,7539759055,7539759049,1.14
7472,183960759,183937369,36.93
12624,6753516940,6753516957,0.00
8323,183815852,6970968559,0.08
8912,7189320825,7189320816,152.83
7445,6979088818,3006027297,0.00
11739,183937409,1955186762,0.20
822,2722529950,2722529948,0.00
3397,8110649095,183941667,48.63
8589,8393901694,8084247207,0.05
5927,183936842,183925159,0.02
1619,7218473084,7218479592,12.52
6879,8459847534,8459847541,21.70
2471,6979705273,6979705274,6.86
10239,183852607,8428266595,0.01
10888,183807603,183807586,1699.99
6606,183873491,183878240,10.14
4009,183896126,183896113,49.40
7480,6950796909,6950796908,7.35
12714,183818076,7510087053,0.04
633,183777245,183918020,0.00
3764,183776931,183904197,12.29
5431,183962944,8112172774,27.35
11392,183868386,183868390,0.01
11812,6986474052,6986474050,0.24
11152,8111179793,8111179806,0.04
10658,183935709,183936162,25.96
2600,183904267,183954995,0.03
4752,7079509462,7539686861,9.23
11617,7691897401,7691897405,10.66
1248,6753377208,6753377207,0.02
771,183898278,183898268,21.01
1572,6785875149,6785875146,0.04
4849,6966336675,183777235,31.35
4432,183936149,183936134,19.08
12267,183895953,183895963,0.75
12539,183892886,183897817,0.01
13441,6771384083,6771397287,0.00
6622,183950903,7127817079,0.05
4706,2937774082,2937774084,19.01
8168,7130074351,8411584963,2.89
12873,7035917795,7035917792,0.01
6636,183879664,6909515465,14.50
8294,183938664,183922338,0.05
12337,183852610,8428330843,2.42
1003,8192842771,8192842766,0.01
7212,183973311,183973307,0.00
1843,4095531983,4095533600,0.00
10027,7984593371,7984593370,29.37
9826,7259925781,7259938987,0.01
12159,6948053725,8111382264,0.02
5350,183916113,183902203,89.63
5778,4562886622,6950234967,32.76
3267,6951413290,7566016435,79.63
12050,1864947774,1864946746,0.01
2904,7168837310,7168837308,2.48
699,183903219,183895469,173.89
8232,4562886631,4562886632,27.54
8073,6966336666,6966336658,0.03
9634,183952320,183952308,0.00
2643,7180682746,7180682754,0.34
347,183911076,183878683,0.10
3532,7187285159,7187285169,420.62
6960,183898153,7130233202,0.07
10062,7171212854,7171212855,0.00
4,4562889291,4562890237,79.04
10730,6957604134,6957604133,0.02
10327,183840680,183840645,36.00
9668,8110346550,183856059,87.78
7873,183794772,183794788,0.03
6753,183918749,183944972,0.00
2755,8411584939,8411584928,0.00
7727,7180682748,8113740918,318.99
6896,183910435,183943866,12.15
998,183937366,183937369,73.28
6032,7217965812,7217965808,14.60
6744,7799844930,183941261,11.96
9121,183868291,8111179800,159.95
674,7842099699,7127557411,40.47
5672,183937315,8112172790,22.65
13135,8428203885,8428203879,0.00
4492,183910456,6782963254,0.00
357,183806003,6782612316,31.06
5557,2005648327,7259925781,0.00
473,7211247998,7211206083,21.50
3048,183868911,183877617,870.62
2346,183941664,8110649094,0.00
1910,7129703923,7129703934,19.83
8420,4562888526,4562888528,32.03
643,6973075321,8411373831,0.02
12505,183944732,183944790,0.02
7059,6970968559,183962661,0.08
6122,183897817,183892886,0.01
1285,8111847740,8428456457,15.56
11525,183873488,183878238,28.94
6310,183888019,183794690,0.08
13094,183922068,183777235,0.06
6748,7799844930,7799844969,0.01
4403,183829856,183829853,0.63
2979,183833160,183833157,0.59
207,183856059,6788254727,9.09
